#Adapt	Invoke	LyRT	Javassist
0	0	6180	28027
0	1	27807	28716
0	2	220743	29812
0	3	2157534	35512
1	0	86494	265621
1	1	27772	264450
1	2	223411	268627
1	3	2165468	270754
2	0	7798	532120
2	1	241835	532480
2	2	225420	539445
2	3	2196894	539600
3	0	21258	850871
3	1	42323	850729
3	2	229603	860232
3	3	2173649	856887
4	0	47568	1090581
4	1	33429	1084061
4	2	234439	1095575
4	3	2260378	1097558
5	0	99136	1330994
5	1	113330	1327242
5	2	230233	1322905
5	3	2215158	1363530
6	0	11374	1733652
6	1	43896	1714900
6	2	230882	1742665
6	3	2253274	1729237
7	0	13554	2086313
7	1	66627	2087453
7	2	233480	2064359
7	3	2233146	2075615
8	0	17323	2283432
8	1	58090	2286859
8	2	240600	2286603
8	3	2191642	2284347
9	0	34722	2503505
9	1	49093	2524672
9	2	238704	2563992
9	3	2245079	2567988
10	0	38638	2857492
10	1	70674	2875998
10	2	245815	2887814
10	3	2215205	2838413
#11	0	40002	6716708
#11	1	137721	6884510
#11	2	255827	6757013
#11	3	2300094	6760103
#12	0	47342	12530667
#12	1	78913	12542425
#12	2	274987	12367570
#12	3	2371842	12466223
